booking_id,client_id,booking_date,course_name,course_category,number_of_participants,revenue,payment_date,payment_status
B00770,C0097,2025-09-01,Negotiation Skills,Communication Skills,15,48465,2025-09-12,Paid
B00771,C0098,2023-10-23,Prompt Engineering for Professionals,AI & Technology,7,48013,2023-10-23,Paid
B00772,C0098,2023-12-26,Talent Acquisition,Human Resources,5,35815,2023-12-31,Paid
B00773,C0098,2024-03-04,Employee Relations,Human Resources,6,53664,2024-03-09,Paid
B00774,C0098,2024-05-17,Business Communication,Communication Skills,10,38300,2024-05-22,Paid
B00775,C0098,2024-07-22,Talent Acquisition,Human Resources,2,13442,2024-08-17,Overdue
B00776,C0098,2024-10-10,PMP Certification Prep,Project Management,2,29622,2024-10-31,Pending
B00777,C0099,2023-03-01,Risk & Compliance,Compliance & Quality,14,125580,2023-03-29,Pending
B00778,C0099,2023-04-15,Agile & Scrum Fundamentals,Project Management,7,63497,2023-05-10,Pending
B00779,C0099,2023-06-18,Talent Acquisition,Human Resources,13,83408,2023-07-10,Overdue
B00780,C0099,2023-07-29,Internal Audit,Finance & Accounting,14,119210,2023-08-18,Paid
B00781,C0099,2023-09-11,Compensation & Benefits,Human Resources,5,45625,2023-09-30,Paid
B00782,C0099,2023-10-30,Prompt Engineering for Professionals,AI & Technology,8,87088,2023-11-08,Paid
B00783,C0099,2023-12-11,ISO 9001 Quality Management,Compliance & Quality,7,67788,2023-12-18,Paid
B00784,C0099,2024-01-26,Executive Leadership,Leadership & Management,15,118485,2024-02-22,Pending
B00785,C0099,2024-03-26,Key Account Management,Sales & Marketing,14,102662,2024-04-10,Paid
B00786,C0099,2024-05-11,Performance Appraisal,Human Resources,6,55278,2024-05-26,Paid
B00787,C0099,2024-07-06,ISO 9001 Quality Management,Compliance & Quality,15,96015,2024-07-11,Paid
B00788,C0099,2024-08-15,Key Account Management,Sales & Marketing,11,75515,2024-09-12,Overdue
B00789,C0099,2024-10-19,Strategic Marketing,Sales & Marketing,13,76245,2024-10-24,Paid
B00790,C0099,2024-12-09,Internal Audit,Finance & Accounting,10,91830,2024-12-31,Overdue
B00791,C0100,2022-04-29,Performance Appraisal,Human Resources,19,125001,2022-05-27,Overdue
B00792,C0100,2022-06-28,Digital Transformation,AI & Technology,15,121935,2022-07-06,Paid
B00793,C0100,2022-08-20,Data Literacy for Leaders,AI & Technology,12,77520,2022-09-13,Pending
B00794,C0100,2022-10-22,Financial Analysis,Finance & Accounting,24,219288,2022-11-02,Paid
B00795,C0100,2022-12-18,Employee Relations,Human Resources,11,73909,2023-01-03,Paid
B00796,C0100,2023-02-21,Emotional Intelligence,Personal Development,20,80660,2023-03-07,Paid
B00797,C0100,2023-05-06,Sales Fundamentals,Sales & Marketing,23,130479,2023-05-17,Paid
B00798,C0100,2023-07-15,Risk & Compliance,Compliance & Quality,25,203925,2023-07-23,Paid
B00799,C0100,2023-09-16,Conflict Resolution,Communication Skills,10,35990,2023-09-30,Paid
B00800,C0100,2023-11-20,Employee Relations,Human Resources,18,132228,2023-11-22,Paid
B00801,C0100,2024-01-05,Presentation Skills,Communication Skills,12,48000,2024-01-31,Pending
B00802,C0100,2024-02-25,ISO 9001 Quality Management,Compliance & Quality,18,135630,2024-02-28,Paid
B00803,C0100,2024-04-17,Agile & Scrum Fundamentals,Project Management,12,111696,2024-04-18,Paid
B00804,C0100,2024-06-29,Generative AI Essentials,AI & Technology,16,125568,2024-07-05,Paid
B00805,C0100,2024-08-19,Office Management,Administration,20,76900,2024-08-28,Paid
B00806,C0100,2024-10-17,Virtual Team Building,Team Building,18,73134,2024-11-08,Pending
B00807,C0100,2024-12-28,Leadership Team Offsite,Team Building,18,61704,2025-01-21,Overdue
B00808,C0100,2025-02-18,Financial Analysis,Finance & Accounting,21,175056,2025-03-20,Overdue
B00809,C0100,2025-04-16,Internal Control Systems,Compliance & Quality,10,92360,2025-05-06,Paid
B00810,C0101,2024-10-27,Employee Relations,Human Resources,31,221433,2024-11-21,Overdue
B00811,C0101,2025-01-01,Team Building Workshop,Team Building,29,132965,2025-01-26,Pending
B00812,C0101,2025-02-21,Internal Audit,Finance & Accounting,21,178710,2025-03-17,Overdue
B00813,C0101,2025-04-08,Performance Appraisal,Human Resources,29,193314,2025-05-05,Pending
B00814,C0101,2025-05-24,Negotiation Skills,Communication Skills,19,94715,2025-06-20,Pending
B00815,C0101,2025-07-25,Budgeting & Forecasting,Finance & Accounting,15,135060,2025-08-19,Overdue
B00816,C0101,2025-09-25,Business Communication,Communication Skills,22,97526,2025-10-08,Paid
B00817,C0101,2025-11-09,Office Management,Administration,27,145206,2025-11-26,Paid
B00818,C0102,2021-01-25,Digital Transformation,AI & Technology,35,340305,2021-02-23,Overdue
B00819,C0102,2021-03-11,Conflict Resolution,Communication Skills,21,91035,2021-03-13,Paid
B00820,C0102,2021-05-13,Generative AI Essentials,AI & Technology,27,184545,2021-05-28,Paid
B00821,C0102,2021-07-22,PMP Certification Prep,Project Management,25,269125,2021-08-21,Overdue
B00822,C0102,2021-09-06,Critical Thinking,Personal Development,24,68952,2021-09-11,Paid
B00823,C0102,2021-11-19,PMP Certification Prep,Project Management,32,257152,2021-11-20,Paid
B00824,C0102,2022-01-07,Internal Control Systems,Compliance & Quality,34,317934,2022-01-07,Paid
B00825,C0102,2022-02-25,HR Management Essentials,Human Resources,21,112161,2022-03-26,Overdue
B00826,C0102,2022-05-11,Financial Analysis,Finance & Accounting,21,150087,2022-05-20,Paid
B00827,C0102,2022-07-05,Executive Assistant Excellence,Administration,31,99758,2022-07-19,Paid
B00828,C0103,2025-06-11,Customer Service Excellence,Customer Service,22,68112,2025-06-14,Paid
B00829,C0103,2025-07-07,Project Planning & Execution,Project Management,23,232967,2025-07-30,Pending
B00830,C0103,2025-08-07,Conflict Resolution,Communication Skills,16,54832,2025-09-03,Pending
B00831,C0103,2025-09-12,Budgeting & Forecasting,Finance & Accounting,23,203090,2025-09-17,Paid
B00832,C0103,2025-11-04,Time Management,Personal Development,19,87305,2025-11-10,Paid
B00833,C0104,2021-05-03,Business Communication,Communication Skills,25,114400,2021-05-17,Paid
B00834,C0104,2021-07-26,Digital Transformation,AI & Technology,11,117238,2021-07-28,Paid
B00835,C0104,2021-10-12,Financial Analysis,Finance & Accounting,24,190536,2021-11-03,Overdue
B00836,C0104,2021-12-27,Email Writing Mastery,Communication Skills,15,66300,2022-01-03,Paid
B00837,C0104,2022-03-07,HR Management Essentials,Human Resources,23,153939,2022-03-19,Paid
B00838,C0104,2022-05-20,Executive Assistant Excellence,Administration,15,81090,2022-06-07,Paid
B00839,C0104,2022-08-12,PMP Certification Prep,Project Management,22,256608,2022-09-11,Pending
B00840,C0104,2022-10-23,Compensation & Benefits,Human Resources,15,90780,2022-11-20,Overdue
B00841,C0104,2023-01-27,Executive Assistant Excellence,Administration,12,64860,2023-02-19,Pending
B00842,C0104,2023-04-19,Strategic Marketing,Sales & Marketing,23,158746,2023-05-06,Paid
B00843,C0104,2023-07-17,Agile & Scrum Fundamentals,Project Management,21,153972,2023-08-10,Pending
B00844,C0104,2023-10-20,Key Account Management,Sales & Marketing,20,113540,2023-11-03,Paid
B00845,C0104,2024-01-05,Prince2 Foundation,Project Management,18,148374,2024-01-21,Paid
B00846,C0104,2024-03-31,Team Management Essentials,Leadership & Management,24,147240,2024-04-02,Paid
B00847,C0105,2022-04-26,Talent Acquisition,Human Resources,22,115060,2022-04-26,Paid
B00848,C0105,2022-06-17,HR Analytics,Human Resources,13,98384,2022-07-16,Pending
B00849,C0105,2022-07-28,Internal Audit,Finance & Accounting,24,213600,2022-08-11,Paid
B00850,C0105,2022-09-22,Change Management,Leadership & Management,12,117216,2022-10-13,Pending
B00851,C0106,2025-05-27,Prince2 Foundation,Project Management,7,104076,2025-05-27,Paid
B00852,C0106,2025-07-15,Time Management,Personal Development,6,22350,2025-07-24,Paid
B00853,C0106,2025-09-13,Agile & Scrum Fundamentals,Project Management,13,155506,2025-09-25,Paid
B00854,C0106,2025-11-23,Prince2 Foundation,Project Management,6,81000,2025-12-17,Pending
B00855,C0107,2025-05-24,Advanced Excel,Administration,16,85184,2025-06-10,Paid
B00856,C0107,2025-07-08,Performance Appraisal,Human Resources,29,218225,2025-07-09,Paid
B00857,C0107,2025-08-16,Critical Thinking,Personal Development,31,148211,2025-09-06,Pending
B00858,C0108,2025-05-23,Time Management,Personal Development,2,6398,2025-06-16,Overdue
B00859,C0108,2025-09-03,Innovation Workshop,Team Building,5,39020,2025-09-10,Paid
B00860,C0109,2022-03-26,Employee Relations,Human Resources,6,55584,2022-04-21,Pending
B00861,C0109,2022-05-15,Team Building Workshop,Team Building,7,29260,2022-05-28,Paid
B00862,C0109,2022-06-30,Key Account Management,Sales & Marketing,6,50040,2022-07-10,Paid
B00863,C0109,2022-08-13,Internal Audit,Finance & Accounting,13,88972,2022-09-01,Paid
B00864,C0109,2022-10-09,Performance Appraisal,Human Resources,13,84175,2022-11-08,Overdue
B00865,C0109,2022-11-22,Agile & Scrum Fundamentals,Project Management,8,78008,2022-11-25,Paid
B00866,C0109,2023-01-05,Presentation Skills,Communication Skills,10,35790,2023-01-05,Paid
B00867,C0109,2023-02-28,Email Writing Mastery,Communication Skills,15,61125,2023-02-28,Paid
B00868,C0109,2023-05-09,Conflict Resolution,Communication Skills,8,43032,2023-05-16,Paid
B00869,C0109,2023-06-28,Change Management,Leadership & Management,15,118320,2023-07-18,Paid
B00870,C0109,2023-09-01,Emotional Intelligence,Personal Development,10,27020,2023-09-03,Paid
B00871,C0109,2023-11-05,Performance Appraisal,Human Resources,11,67639,2023-11-29,Overdue
B00872,C0109,2023-12-21,PMP Certification Prep,Project Management,13,160017,2024-01-19,Pending
B00873,C0110,2024-10-14,Innovation Workshop,Team Building,7,37520,2024-10-19,Paid
B00874,C0110,2024-12-17,Critical Thinking,Personal Development,10,48690,2025-01-01,Paid
B00875,C0110,2025-02-10,Change Management,Leadership & Management,10,60720,2025-03-01,Paid
B00876,C0110,2025-04-16,Prompt Engineering for Professionals,AI & Technology,12,98244,2025-05-02,Paid
B00877,C0110,2025-06-22,Critical Thinking,Personal Development,8,40496,2025-07-10,Paid
B00878,C0110,2025-08-18,Advanced Excel,Administration,5,22260,2025-08-18,Paid
B00879,C0110,2025-10-23,Emotional Intelligence,Personal Development,6,25590,2025-10-30,Paid
B00880,C0111,2024-07-17,Team Building Workshop,Team Building,9,63243,2024-08-14,Overdue
B00881,C0111,2024-09-02,Project Planning & Execution,Project Management,6,63606,2024-09-22,Paid
B00882,C0111,2024-10-02,ISO 9001 Quality Management,Compliance & Quality,2,22532,2024-10-27,Overdue
B00883,C0111,2024-10-31,Problem Solving,Personal Development,6,18582,2024-11-07,Paid
B00884,C0111,2024-12-02,Team Building Workshop,Team Building,7,37821,2024-12-09,Paid
B00885,C0111,2025-01-10,Performance Appraisal,Human Resources,10,52870,2025-02-08,Pending
B00886,C0111,2025-02-22,Risk & Compliance,Compliance & Quality,5,59905,2025-03-21,Overdue
B00887,C0111,2025-03-31,AI for Business Leaders,AI & Technology,7,56021,2025-04-14,Paid
B00888,C0111,2025-05-04,Critical Thinking,Personal Development,2,6528,2025-05-31,Overdue
B00889,C0111,2025-06-05,Change Management,Leadership & Management,5,37130,2025-06-25,Paid
B00890,C0111,2025-07-15,Risk Management,Project Management,5,45140,2025-07-17,Paid
B00891,C0111,2025-08-18,HR Management Essentials,Human Resources,10,79930,2025-09-12,Pending
B00892,C0111,2025-10-05,Compensation & Benefits,Human Resources,10,53720,2025-10-18,Paid
B00893,C0111,2025-11-03,Team Building Workshop,Team Building,9,47475,2025-11-08,Paid
B00894,C0111,2025-12-08,Team Building Workshop,Team Building,5,25015,2025-12-21,Paid
B00895,C0112,2025-08-27,Service Quality Management,Customer Service,16,55936,2025-09-23,Overdue
B00896,C0112,2025-10-09,Performance Management,Leadership & Management,21,183162,2025-10-21,Paid
B00897,C0112,2025-11-21,Prince2 Foundation,Project Management,25,246800,2025-12-04,Paid
B00898,C0113,2025-05-03,Conflict Resolution,Communication Skills,8,55984,2025-05-05,Paid
B00899,C0113,2025-06-01,Leadership Team Offsite,Team Building,6,38622,2025-06-18,Paid
B00900,C0113,2025-06-15,Risk Management,Project Management,10,118590,2025-06-20,Paid
B00901,C0113,2025-07-23,HR Analytics,Human Resources,8,63192,2025-08-01,Paid
B00902,C0114,2021-03-13,Risk Management,Project Management,8,64272,2021-03-13,Paid
B00903,C0114,2021-06-01,Key Account Management,Sales & Marketing,10,59600,2021-06-13,Paid
B00904,C0114,2021-08-22,Customer Service Excellence,Customer Service,11,42328,2021-09-03,Paid
B00905,C0114,2021-11-08,Strategic Marketing,Sales & Marketing,9,68625,2021-11-26,Paid
B00906,C0114,2022-01-12,Change Management,Leadership & Management,11,68420,2022-02-10,Pending
B00907,C0114,2022-03-26,Conflict Resolution,Communication Skills,14,49560,2022-04-01,Paid
B00908,C0114,2022-06-01,Leadership Team Offsite,Team Building,11,74052,2022-06-09,Paid
B00909,C0114,2022-08-25,Innovation Workshop,Team Building,10,51730,2022-09-16,Overdue
B00910,C0114,2022-11-11,Critical Thinking,Personal Development,10,49740,2022-11-12,Paid
B00911,C0114,2023-01-19,Problem Solving,Personal Development,11,44275,2023-02-11,Pending
B00912,C0115,2024-05-28,Business Writing,Administration,35,122115,2024-06-05,Paid
B00913,C0115,2024-08-20,Time Management,Personal Development,29,142680,2024-08-24,Paid
B00914,C0115,2024-11-09,HR Analytics,Human Resources,22,158312,2024-11-27,Paid
B00915,C0115,2025-01-14,Executive Assistant Excellence,Administration,20,60340,2025-01-17,Paid
B00916,C0115,2025-03-30,Innovation Workshop,Team Building,17,95931,2025-04-21,Overdue
B00917,C0115,2025-06-15,Email Writing Mastery,Communication Skills,33,107382,2025-07-01,Paid
B00918,C0115,2025-08-30,Talent Acquisition,Human Resources,28,158956,2025-09-25,Overdue
B00919,C0116,2023-07-15,Executive Assistant Excellence,Administration,11,55165,2023-07-24,Paid
B00920,C0116,2023-09-07,Team Building Workshop,Team Building,11,66209,2023-10-05,Pending
B00921,C0116,2023-10-18,PMP Certification Prep,Project Management,15,161790,2023-11-11,Overdue
B00922,C0117,2021-04-23,Business Writing,Administration,19,56943,2021-04-28,Paid
B00923,C0117,2021-06-30,Internal Control Systems,Compliance & Quality,25,149000,2021-07-03,Paid
B00924,C0117,2021-09-29,Change Management,Leadership & Management,23,220915,2021-10-12,Paid
B00925,C0117,2021-12-23,Problem Solving,Personal Development,19,76950,2021-12-28,Paid
B00926,C0117,2022-03-07,HR Management Essentials,Human Resources,21,120708,2022-03-29,Pending
B00927,C0118,2023-04-16,Virtual Team Building,Team Building,4,29256,2023-05-10,Pending
B00928,C0118,2023-06-01,HR Analytics,Human Resources,8,62440,2023-06-21,Paid
B00929,C0118,2023-07-31,Emotional Intelligence,Personal Development,3,16818,2023-08-05,Paid
B00930,C0118,2023-09-02,Performance Management,Leadership & Management,6,46212,2023-09-14,Paid
B00931,C0118,2023-10-16,Agile & Scrum Fundamentals,Project Management,6,51156,2023-10-26,Paid
B00932,C0118,2023-12-03,Strategic Leadership,Leadership & Management,5,54570,2023-12-18,Paid
B00933,C0118,2024-01-28,Office Management,Administration,3,10614,2024-01-29,Paid
B00934,C0118,2024-03-04,Finance for Non-Finance,Finance & Accounting,2,13684,2024-03-07,Paid
B00935,C0118,2024-04-08,Performance Appraisal,Human Resources,10,78560,2024-04-08,Paid
B00936,C0118,2024-05-14,Conflict Resolution,Communication Skills,10,56250,2024-05-22,Paid
B00937,C0118,2024-06-14,Strategic Marketing,Sales & Marketing,9,72900,2024-06-24,Paid
B00938,C0119,2022-10-19,Internal Audit,Finance & Accounting,17,136680,2022-11-09,Overdue
B00939,C0119,2022-12-05,Conflict Resolution,Communication Skills,11,46354,2023-01-01,Overdue
B00940,C0119,2023-01-28,Risk & Compliance,Compliance & Quality,13,77623,2023-02-11,Paid
B00941,C0119,2023-03-05,Business Writing,Administration,22,120978,2023-03-31,Pending
B00942,C0120,2023-12-23,Leadership Team Offsite,Team Building,5,27545,2024-01-06,Paid
B00943,C0120,2024-03-22,Emotional Intelligence,Personal Development,9,45981,2024-04-04,Paid
B00944,C0120,2024-06-09,Executive Assistant Excellence,Administration,5,17560,2024-06-29,Paid
B00945,C0120,2024-08-19,Internal Control Systems,Compliance & Quality,7,49952,2024-09-08,Paid
B00946,C0120,2024-11-20,Negotiation Skills,Communication Skills,2,13614,2024-12-13,Overdue
B00947,C0120,2025-02-13,Office Management,Administration,9,40104,2025-03-04,Paid
B00948,C0121,2023-11-21,Digital Marketing,Sales & Marketing,3,24021,2023-12-03,Paid
B00949,C0121,2024-02-18,Financial Analysis,Finance & Accounting,5,38360,2024-03-16,Pending
B00950,C0121,2024-05-23,Project Planning & Execution,Project Management,9,130743,2024-05-25,Paid
B00951,C0121,2024-08-03,Budgeting & Forecasting,Finance & Accounting,10,87750,2024-08-08,Paid
B00952,C0121,2024-10-23,Service Quality Management,Customer Service,3,14922,2024-11-13,Pending
B00953,C0121,2025-01-14,Compensation & Benefits,Human Resources,5,33490,2025-02-07,Pending
B00954,C0121,2025-04-24,PMP Certification Prep,Project Management,8,110904,2025-04-24,Paid
B00955,C0121,2025-08-01,Prince2 Foundation,Project Management,7,77987,2025-08-25,Overdue
B00956,C0122,2021-04-19,Executive Assistant Excellence,Administration,6,37350,2021-04-23,Paid
B00957,C0122,2021-05-25,Generative AI Essentials,AI & Technology,15,158625,2021-06-09,Paid
B00958,C0123,2023-09-14,Problem Solving,Personal Development,20,77240,2023-10-13,Overdue
B00959,C0123,2023-11-20,Problem Solving,Personal Development,23,77303,2023-11-27,Paid
B00960,C0123,2024-01-06,HR Analytics,Human Resources,13,79456,2024-01-08,Paid
B00961,C0123,2024-03-15,Agile & Scrum Fundamentals,Project Management,12,110016,2024-04-07,Pending
B00962,C0123,2024-05-12,Virtual Team Building,Team Building,13,70122,2024-05-23,Paid
B00963,C0123,2024-07-15,Project Planning & Execution,Project Management,20,188920,2024-08-02,Paid
B00964,C0123,2024-09-22,Virtual Team Building,Team Building,10,44820,2024-09-23,Paid
B00965,C0123,2024-11-20,Prompt Engineering for Professionals,AI & Technology,16,131632,2024-12-03,Paid
B00966,C0123,2025-01-01,Internal Audit,Finance & Accounting,21,134463,2025-01-17,Paid
B00967,C0124,2024-03-14,Employee Relations,Human Resources,9,79065,2024-03-28,Paid
B00968,C0124,2024-04-24,Risk Management,Project Management,6,55164,2024-05-17,Pending
B00969,C0124,2024-05-31,Time Management,Personal Development,7,29855,2024-06-16,Paid
B00970,C0124,2024-07-16,Business Writing,Administration,3,13860,2024-08-12,Overdue
B00971,C0124,2024-08-19,Critical Thinking,Personal Development,5,25135,2024-08-28,Paid
B00972,C0124,2024-10-09,Advanced Excel,Administration,8,29920,2024-11-03,Overdue
B00973,C0124,2024-12-09,Risk Management,Project Management,5,74735,2025-01-01,Pending
B00974,C0124,2025-01-26,Business Writing,Administration,2,8466,2025-02-22,Overdue
B00975,C0124,2025-03-11,Team Building Workshop,Team Building,8,41800,2025-04-06,Pending
B00976,C0124,2025-04-18,Strategic Leadership,Leadership & Management,10,86810,2025-04-28,Paid
B00977,C0124,2025-06-17,Complaint Handling,Customer Service,9,39834,2025-07-11,Overdue
B00978,C0124,2025-08-20,Email Writing Mastery,Communication Skills,3,16986,2025-09-12,Overdue
B00979,C0124,2025-10-02,Financial Analysis,Finance & Accounting,5,54945,2025-10-14,Paid
B00980,C0125,2023-06-19,Advanced Excel,Administration,6,32244,2023-07-09,Paid
B00981,C0125,2023-08-01,Prince2 Foundation,Project Management,4,46476,2023-08-23,Overdue
B00982,C0125,2023-09-14,Financial Analysis,Finance & Accounting,4,32872,2023-09-20,Paid
B00983,C0125,2023-10-21,Risk & Compliance,Compliance & Quality,5,35370,2023-11-01,Paid
B00984,C0125,2023-12-06,Team Building Workshop,Team Building,3,20334,2023-12-31,Pending
B00985,C0125,2024-01-19,Conflict Resolution,Communication Skills,8,50264,2024-02-14,Pending
B00986,C0125,2024-02-08,Executive Leadership,Leadership & Management,3,29736,2024-02-23,Paid
B00987,C0125,2024-03-25,HR Management Essentials,Human Resources,2,12960,2024-04-10,Paid
B00988,C0125,2024-05-12,Problem Solving,Personal Development,7,38010,2024-05-25,Paid
B00989,C0126,2025-04-29,Team Management Essentials,Leadership & Management,18,137286,2025-05-11,Paid
B00990,C0126,2025-07-15,Strategic Marketing,Sales & Marketing,24,159456,2025-08-03,Paid
B00991,C0127,2025-11-27,Innovation Workshop,Team Building,17,103819,2025-12-11,Paid
B00992,C0128,2025-03-23,Leadership Excellence Program,Leadership & Management,3,23865,2025-03-25,Paid
B00993,C0128,2025-05-04,Agile & Scrum Fundamentals,Project Management,9,119286,2025-05-25,Pending
B00994,C0128,2025-06-09,Strategic Leadership,Leadership & Management,9,83178,2025-07-01,Pending
B00995,C0128,2025-07-12,ISO 9001 Quality Management,Compliance & Quality,4,40580,2025-07-27,Paid
B00996,C0129,2023-05-16,Data Literacy for Leaders,AI & Technology,32,351360,2023-06-10,Overdue
B00997,C0129,2023-07-01,Change Management,Leadership & Management,31,310651,2023-07-18,Paid
B00998,C0129,2023-08-25,Advanced Excel,Administration,35,119210,2023-09-18,Pending
B00999,C0129,2023-10-05,Executive Assistant Excellence,Administration,18,64872,2023-11-01,Pending
B01000,C0129,2023-11-14,Leadership Excellence Program,Leadership & Management,32,290016,2023-12-09,Overdue
B01001,C0129,2023-12-31,Agile & Scrum Fundamentals,Project Management,16,123136,2024-01-18,Paid
B01002,C0129,2024-02-08,Performance Appraisal,Human Resources,35,198135,2024-02-10,Paid
B01003,C0129,2024-04-07,Data Literacy for Leaders,AI & Technology,23,247664,2024-04-08,Paid
B01004,C0129,2024-06-12,Performance Management,Leadership & Management,18,170532,2024-06-21,Paid
B01005,C0129,2024-08-15,Negotiation Skills,Communication Skills,32,114272,2024-08-28,Paid
B01006,C0129,2024-10-16,Executive Assistant Excellence,Administration,15,57585,2024-10-25,Paid
B01007,C0129,2024-12-09,Team Management Essentials,Leadership & Management,31,247752,2024-12-30,Overdue
B01008,C0129,2025-01-20,Project Planning & Execution,Project Management,33,337062,2025-02-11,Overdue
B01009,C0129,2025-03-10,AI for Business Leaders,AI & Technology,26,253370,2025-03-27,Paid
B01010,C0129,2025-05-12,Key Account Management,Sales & Marketing,21,139524,2025-05-15,Paid
B01011,C0129,2025-07-10,Executive Assistant Excellence,Administration,16,60800,2025-07-11,Paid
B01012,C0129,2025-08-16,Talent Acquisition,Human Resources,19,116698,2025-09-12,Pending
B01013,C0129,2025-10-04,Project Planning & Execution,Project Management,34,361862,2025-10-10,Paid
B01014,C0130,2023-09-05,Sales Fundamentals,Sales & Marketing,3,26607,2023-09-13,Paid
B01015,C0130,2023-10-26,Office Management,Administration,8,50752,2023-10-30,Paid
B01016,C0130,2024-01-04,Generative AI Essentials,AI & Technology,5,35390,2024-01-24,Paid
B01017,C0130,2024-03-10,Team Building Workshop,Team Building,6,39558,2024-04-01,Pending
B01018,C0130,2024-05-09,Advanced Excel,Administration,7,40656,2024-05-30,Pending
B01019,C0130,2024-06-27,Customer Service Excellence,Customer Service,4,17180,2024-07-22,Overdue
B01020,C0130,2024-08-30,Conflict Resolution,Communication Skills,2,11944,2024-09-06,Paid
B01021,C0130,2024-10-24,Change Management,Leadership & Management,6,48120,2024-11-10,Paid
B01022,C0130,2024-12-18,Agile & Scrum Fundamentals,Project Management,10,96320,2024-12-20,Paid
B01023,C0130,2025-02-15,Business Communication,Communication Skills,3,14958,2025-03-16,Overdue
B01024,C0130,2025-04-23,Innovation Workshop,Team Building,6,27594,2025-05-20,Pending
B01025,C0130,2025-07-07,Finance for Non-Finance,Finance & Accounting,2,14604,2025-07-19,Paid
B01026,C0130,2025-08-28,Employee Relations,Human Resources,8,79184,2025-08-31,Paid
B01027,C0131,2022-08-24,Strategic Marketing,Sales & Marketing,6,42996,2022-09-04,Paid
B01028,C0131,2022-10-22,Business Writing,Administration,14,55384,2022-11-08,Paid
B01029,C0131,2022-12-25,Finance for Non-Finance,Finance & Accounting,14,86996,2023-01-22,Pending
B01030,C0131,2023-02-08,Prince2 Foundation,Project Management,10,120350,2023-02-20,Paid
B01031,C0131,2023-04-03,HR Management Essentials,Human Resources,10,79050,2023-04-26,Overdue
B01032,C0131,2023-06-04,Digital Marketing,Sales & Marketing,14,65702,2023-06-12,Paid
B01033,C0131,2023-08-04,Leadership Excellence Program,Leadership & Management,15,142875,2023-08-26,Pending
B01034,C0132,2022-05-26,HR Management Essentials,Human Resources,12,75972,2022-06-20,Overdue
B01035,C0132,2022-06-26,Key Account Management,Sales & Marketing,9,55161,2022-07-26,Overdue
B01036,C0132,2022-08-02,AI for Business Leaders,AI & Technology,8,72000,2022-08-22,Paid
B01037,C0132,2022-09-13,Performance Management,Leadership & Management,9,92970,2022-10-07,Overdue
B01038,C0132,2022-10-10,Performance Management,Leadership & Management,15,97545,2022-10-12,Paid
B01039,C0132,2022-10-30,Team Building Workshop,Team Building,8,62960,2022-11-01,Paid
B01040,C0132,2022-12-17,Prince2 Foundation,Project Management,14,100786,2022-12-19,Paid
B01041,C0132,2023-01-28,Virtual Team Building,Team Building,9,56421,2023-02-26,Overdue
B01042,C0132,2023-03-08,Risk & Compliance,Compliance & Quality,5,52365,2023-03-29,Pending
B01043,C0132,2023-04-07,Digital Marketing,Sales & Marketing,12,72504,2023-04-28,Pending
B01044,C0132,2023-05-18,Email Writing Mastery,Communication Skills,5,30120,2023-05-24,Paid
B01045,C0132,2023-06-30,Virtual Team Building,Team Building,5,34625,2023-07-13,Paid
B01046,C0132,2023-07-26,Business Writing,Administration,13,54288,2023-08-02,Paid
B01047,C0132,2023-09-04,Virtual Team Building,Team Building,15,100635,2023-10-03,Pending
B01048,C0132,2023-10-12,Time Management,Personal Development,12,37632,2023-11-02,Pending
B01049,C0132,2023-11-13,HR Management Essentials,Human Resources,6,45018,2023-12-09,Pending
B01050,C0132,2023-12-24,Key Account Management,Sales & Marketing,10,75650,2023-12-25,Paid
B01051,C0132,2024-01-26,Complaint Handling,Customer Service,12,46428,2024-01-31,Paid
B01052,C0133,2024-12-22,Budgeting & Forecasting,Finance & Accounting,25,189200,2024-12-30,Paid
B01053,C0133,2025-02-07,Performance Appraisal,Human Resources,10,76680,2025-02-27,Paid
B01054,C0133,2025-03-18,Digital Transformation,AI & Technology,22,154836,2025-04-16,Overdue
B01055,C0133,2025-04-12,Problem Solving,Personal Development,11,45771,2025-05-10,Overdue
B01056,C0133,2025-05-26,Executive Leadership,Leadership & Management,21,125790,2025-06-14,Paid
B01057,C0133,2025-06-30,Sales Fundamentals,Sales & Marketing,20,105760,2025-07-11,Paid
B01058,C0133,2025-08-14,PMP Certification Prep,Project Management,10,92340,2025-09-11,Pending
B01059,C0133,2025-09-25,Email Writing Mastery,Communication Skills,21,63105,2025-09-28,Paid
B01060,C0133,2025-11-09,Complaint Handling,Customer Service,25,80925,2025-11-11,Paid
B01061,C0133,2025-11-30,AI for Business Leaders,AI & Technology,14,117376,2025-12-03,Paid
B01062,C0134,2023-06-26,Finance for Non-Finance,Finance & Accounting,13,111514,2023-07-17,Overdue
B01063,C0134,2023-08-04,Prince2 Foundation,Project Management,14,129668,2023-08-27,Overdue
B01064,C0134,2023-09-09,Leadership Excellence Program,Leadership & Management,21,153951,2023-09-12,Paid
B01065,C0134,2023-10-02,Talent Acquisition,Human Resources,19,99541,2023-10-06,Paid
B01066,C0134,2023-10-24,Email Writing Mastery,Communication Skills,23,127972,2023-11-03,Paid
B01067,C0134,2023-11-23,Team Management Essentials,Leadership & Management,15,110025,2023-12-23,Overdue
B01068,C0134,2023-12-20,Executive Assistant Excellence,Administration,18,60984,2024-01-02,Paid
